candidate_id,candidate_hash,family,min_expected_R,min_projected_net_R,max_cost_to_atr,session_mode,skip_same_candle,entry_family,monthly_dd_limit,cost_regime_max
P33_0562,85a782d644f27c44,mean_reversion,1.2,1.2,0.3,ALL,False,bb_expansion,0.03,NO_EXTREME
P33_0563,3b4286e80c1b450a,vwap_reclaim,1.4,1.2,0.3,ALL,False,bb_expansion,0.03,NO_EXTREME
P33_0564,a1337ed0e289d6c1,london_breakout,1.6,,0.3,ALL,False,bb_expansion,0.03,NO_EXTREME
P33_0565,91200bbea1bc28e4,ny_breakout,1.8,,0.4,ALL,False,bb_expansion,0.03,NO_EXTREME
P33_0566,8ec746ef9b6a9cee,off_hours_skip,2.0,,0.4,ALL,False,bb_expansion,0.03,NO_EXTREME
P33_0567,b7190f08b5616e3b,funding_safe,,0.8,0.4,NO_OFF_HOURS,False,bb_expansion,0.03,NO_EXTREME
P33_0568,0e56ecaf37e66cff,low_r_removal,1.0,0.8,0.4,NO_OFF_HOURS,False,bb_expansion,0.03,NO_EXTREME
P33_0569,ed69ed9844161420,adx_trend,1.2,0.8,0.4,NO_OFF_HOURS,False,bb_expansion,0.03,NO_EXTREME
P33_0570,ca02373a885bacf2,atr_volatility_expansion,1.4,1.0,,NO_OFF_HOURS,False,bb_expansion,0.03,
P33_0571,a0065d2d9c44c7c2,cost_to_atr,1.6,1.0,,NO_OFF_HOURS,False,bb_expansion,0.03,
P33_0572,e9fc273813b07259,monthly_governor,1.8,1.0,,NO_OFF_HOURS,True,floor_low_activity,0.03,
P33_0573,746b2d307c34703e,time_stop,2.0,1.2,,NO_OFF_HOURS,False,floor_low_activity,0.03,
P33_0574,b7afd16424b2b8df,same_candle_safe,,1.2,,LONDON_NY,False,floor_low_activity,0.03,
P33_0575,b45453bd77b16de4,low_correlation_complement,1.0,1.2,0.1,LONDON_NY,False,floor_low_activity,0.03,
P33_0576,b88be86a64253d9c,high_pf_low_frequency,1.2,,0.1,LONDON_NY,False,floor_low_activity,0.03,
P33_0577,52b52522d258aa54,stress_hardened,1.4,,0.1,LONDON_NY,False,floor_low_activity,0.03,
P33_0578,72d1632e5a045991,bollinger_expansion_breakout,1.6,,0.1,LONDON_NY,False,floor_low_activity,0.05,
P33_0579,ab57424a1151eb0d,mean_reversion,1.8,0.8,0.1,LONDON_NY,False,floor_low_activity,0.05,
P33_0580,f96c5805b2b7cd37,vwap_reclaim,2.0,0.8,0.15,LONDON_NY,False,floor_low_activity,0.05,
P33_0581,e99cd5c3ec6ea9f4,london_breakout,,0.8,0.15,LONDON_ONLY,False,floor_low_activity,0.05,
P33_0582,0250f477a676e440,ny_breakout,1.0,1.0,0.15,LONDON_ONLY,False,floor_low_activity,0.05,
P33_0583,51a0b0aeaaacfb35,off_hours_skip,1.2,1.0,0.15,LONDON_ONLY,True,floor_low_activity,0.05,
P33_0584,69456e2acde642a5,funding_safe,1.4,1.0,0.15,LONDON_ONLY,False,floor_low_activity,0.05,
P33_0585,490c4a807ed1ec1c,low_r_removal,1.6,1.2,0.2,LONDON_ONLY,False,ALL,0.05,
P33_0586,ab88af306336f75d,adx_trend,1.8,1.2,0.2,LONDON_ONLY,False,ALL,0.05,
P33_0587,cac27538bdb890ea,atr_volatility_expansion,2.0,1.2,0.2,LONDON_ONLY,False,ALL,0.05,
P33_0588,b728b5b4024d7876,cost_to_atr,,,0.2,NY_ONLY,False,ALL,0.05,
P33_0589,ba204c08ac4cda12,monthly_governor,1.0,,0.2,NY_ONLY,False,ALL,0.05,NO_EXTREME
P33_0590,af37cfe683f25f99,time_stop,1.2,,0.3,NY_ONLY,False,ALL,0.05,NO_EXTREME
P33_0591,4b150a81ad4b8a2d,same_candle_safe,1.4,0.8,0.3,NY_ONLY,False,ALL,0.05,NO_EXTREME
P33_0592,bc93a3904076fc56,low_correlation_complement,1.6,0.8,0.3,NY_ONLY,False,ALL,0.05,NO_EXTREME
P33_0593,1384939b0127483b,high_pf_low_frequency,1.8,0.8,0.3,NY_ONLY,False,ALL,0.05,NO_EXTREME
P33_0594,2ed1c4c56ce80041,stress_hardened,2.0,1.0,0.3,NY_ONLY,True,ALL,0.05,NO_EXTREME
P33_0595,231627add36f4d01,bollinger_expansion_breakout,,1.0,0.4,ALL,False,ALL,,NO_EXTREME
P33_0596,55f05afac239ab0c,mean_reversion,1.0,1.0,0.4,ALL,False,ALL,,NO_EXTREME
P33_0597,cd4550d0e1749256,vwap_reclaim,1.2,1.2,0.4,ALL,False,ALL,,NO_EXTREME
P33_0598,6b8fe3a4f40cb43c,london_breakout,1.4,1.2,0.4,ALL,False,bb_expansion,,NO_EXTREME
P33_0599,31816412be631d17,ny_breakout,1.6,1.2,0.4,ALL,False,bb_expansion,,NO_EXTREME
P33_0600,bd77b2229e4c7f76,off_hours_skip,1.8,,,ALL,False,bb_expansion,,NO_EXTREME
P33_0601,557e95c4b46b1f4a,funding_safe,2.0,,,ALL,False,bb_expansion,,NO_EXTREME
P33_0602,8ec82d5184bc4cd5,low_r_removal,,,,NO_OFF_HOURS,False,bb_expansion,,NO_EXTREME
P33_0603,d2f9119bfbc1cb6a,adx_trend,1.0,0.8,,NO_OFF_HOURS,False,bb_expansion,,NO_EXTREME
P33_0604,0d3c94e2ca103ad5,atr_volatility_expansion,1.2,0.8,,NO_OFF_HOURS,False,bb_expansion,,NO_EXTREME
P33_0605,bd1b9993d3848914,cost_to_atr,1.4,0.8,0.1,NO_OFF_HOURS,True,bb_expansion,,NO_EXTREME
P33_0606,e6742fe8d925c7fd,monthly_governor,1.6,1.0,0.1,NO_OFF_HOURS,False,bb_expansion,,NO_EXTREME
P33_0607,42e937cc07d0da76,time_stop,1.8,1.0,0.1,NO_OFF_HOURS,False,bb_expansion,,NO_EXTREME
P33_0608,65fc05dd2747bf19,same_candle_safe,2.0,1.0,0.1,NO_OFF_HOURS,False,bb_expansion,,
P33_0609,f58363b76a4f0ad2,low_correlation_complement,,1.2,0.1,LONDON_NY,False,bb_expansion,,
P33_0610,5ed5e03a1dadd6a3,high_pf_low_frequency,1.0,1.2,0.15,LONDON_NY,False,bb_expansion,,
P33_0611,3afc0f85f6b8d544,stress_hardened,1.2,1.2,0.15,LONDON_NY,False,floor_low_activity,,
P33_0612,87f650fe4af9b543,bollinger_expansion_breakout,1.4,,0.15,LONDON_NY,False,floor_low_activity,0.015,
P33_0613,4c9b09bfff56efd2,mean_reversion,1.6,,0.15,LONDON_NY,False,floor_low_activity,0.015,
P33_0614,b9fa2d1fcd79e0a1,vwap_reclaim,1.8,,0.15,LONDON_NY,False,floor_low_activity,0.015,
P33_0615,d8dffbbf10947954,london_breakout,2.0,0.8,0.2,LONDON_NY,False,floor_low_activity,0.015,
P33_0616,99abb55c555d8c8d,ny_breakout,,0.8,0.2,LONDON_ONLY,True,floor_low_activity,0.015,
P33_0617,175718b0e2506a75,off_hours_skip,1.0,0.8,0.2,LONDON_ONLY,False,floor_low_activity,0.015,
P33_0618,102bc6c7d277442a,funding_safe,1.2,1.0,0.2,LONDON_ONLY,False,floor_low_activity,0.015,
P33_0619,880a7898a28520f5,low_r_removal,1.4,1.0,0.2,LONDON_ONLY,False,floor_low_activity,0.015,
P33_0620,b6764efa1a19d09f,adx_trend,1.6,1.0,0.3,LONDON_ONLY,False,floor_low_activity,0.015,
P33_0621,30f19f7b8af3ac2b,atr_volatility_expansion,1.8,1.2,0.3,LONDON_ONLY,False,floor_low_activity,0.015,
P33_0622,2b6a3e790876ee66,cost_to_atr,2.0,1.2,0.3,LONDON_ONLY,False,floor_low_activity,0.015,
P33_0623,7dd2519a33b1b723,monthly_governor,,1.2,0.3,NY_ONLY,False,floor_low_activity,0.015,
P33_0624,ccbefaa1e98bdfdf,time_stop,1.0,,0.3,NY_ONLY,False,ALL,0.015,
P33_0625,7574e2c6e22f749a,same_candle_safe,1.2,,0.4,NY_ONLY,False,ALL,0.015,
P33_0626,ef538575d2c84a43,low_correlation_complement,1.4,,0.4,NY_ONLY,False,ALL,0.015,
P33_0627,8daefc6ff5ebb6be,high_pf_low_frequency,1.6,0.8,0.4,NY_ONLY,True,ALL,0.015,NO_EXTREME
P33_0628,7ec470c0277146be,stress_hardened,1.8,0.8,0.4,NY_ONLY,False,ALL,0.015,NO_EXTREME
P33_0629,70e1363301b23f4c,bollinger_expansion_breakout,2.0,0.8,0.4,NY_ONLY,False,ALL,0.02,NO_EXTREME
P33_0630,ad7228c1da211cb3,mean_reversion,,1.0,,ALL,False,ALL,0.02,NO_EXTREME
P33_0631,4928854328b28ec0,vwap_reclaim,1.0,1.0,,ALL,False,ALL,0.02,NO_EXTREME
P33_0632,02bec2a046f2cbe2,london_breakout,1.2,1.0,,ALL,False,ALL,0.02,NO_EXTREME
P33_0633,438704bcc5ace328,ny_breakout,1.4,1.2,,ALL,False,ALL,0.02,NO_EXTREME
P33_0634,290a8b9e7185f085,off_hours_skip,1.6,1.2,,ALL,False,ALL,0.02,NO_EXTREME
P33_0635,4f63f4d6a54a86e6,funding_safe,1.8,1.2,0.1,ALL,False,ALL,0.02,NO_EXTREME
P33_0636,0b180162f501e96b,low_r_removal,2.0,,0.1,ALL,False,ALL,0.02,NO_EXTREME
P33_0637,107e9fe97299c8e4,adx_trend,,,0.1,NO_OFF_HOURS,False,bb_expansion,0.02,NO_EXTREME
P33_0638,e22038d0547922fe,atr_volatility_expansion,1.0,,0.1,NO_OFF_HOURS,True,bb_expansion,0.02,NO_EXTREME
P33_0639,98bea2c4e2be9aca,cost_to_atr,1.2,0.8,0.1,NO_OFF_HOURS,False,bb_expansion,0.02,NO_EXTREME
P33_0640,74cbbd8964c448d7,monthly_governor,1.4,0.8,0.15,NO_OFF_HOURS,False,bb_expansion,0.02,NO_EXTREME
P33_0641,508c5c97703cc6b9,time_stop,1.6,0.8,0.15,NO_OFF_HOURS,False,bb_expansion,0.02,NO_EXTREME
P33_0642,0b01c89aaea2819c,same_candle_safe,1.8,1.0,0.15,NO_OFF_HOURS,False,bb_expansion,0.02,NO_EXTREME
P33_0643,7897479c6f459e07,low_correlation_complement,2.0,1.0,0.15,NO_OFF_HOURS,False,bb_expansion,0.02,NO_EXTREME
P33_0644,a7bd42ee4cad553c,high_pf_low_frequency,,1.0,0.15,LONDON_NY,False,bb_expansion,0.02,NO_EXTREME
P33_0645,133233cc60d1d00f,stress_hardened,1.0,1.2,0.2,LONDON_NY,False,bb_expansion,0.02,NO_EXTREME
P33_0646,0ab81c789ff3142a,bollinger_expansion_breakout,1.2,1.2,0.2,LONDON_NY,False,bb_expansion,0.03,
P33_0647,ae430de2e94978de,mean_reversion,1.4,1.2,0.2,LONDON_NY,False,bb_expansion,0.03,
P33_0648,31e620fc2897b381,vwap_reclaim,1.6,,0.2,LONDON_NY,False,bb_expansion,0.03,
P33_0649,afaa13737324f953,london_breakout,1.8,,0.2,LONDON_NY,True,bb_expansion,0.03,
P33_0650,d09372c84b118382,ny_breakout,2.0,,0.3,LONDON_NY,False,floor_low_activity,0.03,
P33_0651,c90b6f2cb132ee6d,off_hours_skip,,0.8,0.3,LONDON_ONLY,False,floor_low_activity,0.03,
P33_0652,1a9accae2df92541,funding_safe,1.0,0.8,0.3,LONDON_ONLY,False,floor_low_activity,0.03,
P33_0653,3c1c6db7d384943b,low_r_removal,1.2,0.8,0.3,LONDON_ONLY,False,floor_low_activity,0.03,
P33_0654,1ad474a324fdbe0a,adx_trend,1.4,1.0,0.3,LONDON_ONLY,False,floor_low_activity,0.03,
P33_0655,0cb452d0f08cc8bb,atr_volatility_expansion,1.6,1.0,0.4,LONDON_ONLY,False,floor_low_activity,0.03,
P33_0656,82fd4cdb227f084a,cost_to_atr,1.8,1.0,0.4,LONDON_ONLY,False,floor_low_activity,0.03,
P33_0657,eb74e3006cc04414,monthly_governor,2.0,1.2,0.4,LONDON_ONLY,False,floor_low_activity,0.03,
P33_0658,9e33f35d3ac65ad3,time_stop,,1.2,0.4,NY_ONLY,False,floor_low_activity,0.03,
P33_0659,3296aa8da6912d42,same_candle_safe,1.0,1.2,0.4,NY_ONLY,False,floor_low_activity,0.03,
P33_0660,3b9cb694c76c833c,low_correlation_complement,1.2,,,NY_ONLY,True,floor_low_activity,0.03,
P33_0661,56f40468e9488160,high_pf_low_frequency,1.4,,,NY_ONLY,False,floor_low_activity,0.03,
P33_0662,555407e90f15f4d3,stress_hardened,1.6,,,NY_ONLY,False,floor_low_activity,0.03,
P33_0663,358cb2a38bf7eff4,bollinger_expansion_breakout,1.8,0.8,,NY_ONLY,False,ALL,0.05,
P33_0664,d545736a1fe1f658,mean_reversion,2.0,0.8,,NY_ONLY,False,ALL,0.05,
P33_0665,d132b4732fe2473b,vwap_reclaim,,0.8,0.1,ALL,False,ALL,0.05,NO_EXTREME
P33_0666,93d05786fc0bd708,london_breakout,1.0,1.0,0.1,ALL,False,ALL,0.05,NO_EXTREME
P33_0667,43dd000a46438032,ny_breakout,1.2,1.0,0.1,ALL,False,ALL,0.05,NO_EXTREME
P33_0668,03c7e73313106c90,off_hours_skip,1.4,1.0,0.1,ALL,False,ALL,0.05,NO_EXTREME
P33_0669,4e3545f5a10e1d7d,funding_safe,1.6,1.2,0.1,ALL,False,ALL,0.05,NO_EXTREME
P33_0670,f66d34fd2f0b3239,low_r_removal,1.8,1.2,0.15,ALL,False,ALL,0.05,NO_EXTREME
P33_0671,918f7b41b33fbf8f,adx_trend,2.0,1.2,0.15,ALL,True,ALL,0.05,NO_EXTREME
P33_0672,eb525581b2eae891,atr_volatility_expansion,,,0.15,NO_OFF_HOURS,False,ALL,0.05,NO_EXTREME
P33_0673,9856d30b71092552,cost_to_atr,1.0,,0.15,NO_OFF_HOURS,False,ALL,0.05,NO_EXTREME
P33_0674,752ddab5ca2915f1,monthly_governor,1.2,,0.15,NO_OFF_HOURS,False,ALL,0.05,NO_EXTREME
P33_0675,45b63d1c2c04f3fc,time_stop,1.4,0.8,0.2,NO_OFF_HOURS,False,ALL,0.05,NO_EXTREME
P33_0676,2e7767e769330eee,same_candle_safe,1.6,0.8,0.2,NO_OFF_HOURS,False,bb_expansion,0.05,NO_EXTREME
P33_0677,446f3d4e2d3397c3,low_correlation_complement,1.8,0.8,0.2,NO_OFF_HOURS,False,bb_expansion,0.05,NO_EXTREME
P33_0678,e908e8d9fb895ac4,high_pf_low_frequency,2.0,1.0,0.2,NO_OFF_HOURS,False,bb_expansion,0.05,NO_EXTREME
P33_0679,dfbb5c01a8bcee17,stress_hardened,,1.0,0.2,LONDON_NY,False,bb_expansion,0.05,NO_EXTREME
P33_0680,38543a724329e917,bollinger_expansion_breakout,1.0,1.0,0.3,LONDON_NY,False,bb_expansion,,NO_EXTREME
P33_0681,fa1b41032b929bd4,mean_reversion,1.2,1.2,0.3,LONDON_NY,False,bb_expansion,,NO_EXTREME
P33_0682,a190d5da48bbf0ba,vwap_reclaim,1.4,1.2,0.3,LONDON_NY,True,bb_expansion,,NO_EXTREME
P33_0683,9d2ff212ed071fb5,london_breakout,1.6,1.2,0.3,LONDON_NY,False,bb_expansion,,NO_EXTREME
P33_0684,28769564385ce9c0,ny_breakout,1.8,,0.3,LONDON_NY,False,bb_expansion,,
P33_0685,8bf34d9dcc7c3262,off_hours_skip,2.0,,0.4,LONDON_NY,False,bb_expansion,,
P33_0686,f1761030d4d848c6,funding_safe,,,0.4,LONDON_ONLY,False,bb_expansion,,
P33_0687,c44354f5726bb97f,low_r_removal,1.0,0.8,0.4,LONDON_ONLY,False,bb_expansion,,
P33_0688,ba0666f528995384,adx_trend,1.2,0.8,0.4,LONDON_ONLY,False,bb_expansion,,
P33_0689,d939a195bd56f10c,atr_volatility_expansion,1.4,0.8,0.4,LONDON_ONLY,False,floor_low_activity,,
P33_0690,b46b953950d9f5ca,cost_to_atr,1.6,1.0,,LONDON_ONLY,False,floor_low_activity,,
P33_0691,a0fef920202fa6c0,monthly_governor,1.8,1.0,,LONDON_ONLY,False,floor_low_activity,,
P33_0692,dbd849adcaa2b05b,time_stop,2.0,1.0,,LONDON_ONLY,False,floor_low_activity,,
P33_0693,2ac0ae76631014e1,same_candle_safe,,1.2,,NY_ONLY,True,floor_low_activity,,
P33_0694,1648b5f3a047f9f8,low_correlation_complement,1.0,1.2,,NY_ONLY,False,floor_low_activity,,
P33_0695,6401023bdb7d0507,high_pf_low_frequency,1.2,1.2,0.1,NY_ONLY,False,floor_low_activity,,
P33_0696,2c3841e7832e621b,stress_hardened,1.4,,0.1,NY_ONLY,False,floor_low_activity,,
P33_0697,64ea5c427d08f846,bollinger_expansion_breakout,1.6,,0.1,NY_ONLY,False,floor_low_activity,0.015,
P33_0698,a435d9ecd0bde6f7,mean_reversion,1.8,,0.1,NY_ONLY,False,floor_low_activity,0.015,
P33_0699,b9f7819fe5830ba7,vwap_reclaim,2.0,0.8,0.1,NY_ONLY,False,floor_low_activity,0.015,
P33_0700,8cbc40e08fb77d09,london_breakout,,0.8,0.15,ALL,False,floor_low_activity,0.015,
P33_0701,f82f6bea40119a88,ny_breakout,1.0,0.8,0.15,ALL,False,floor_low_activity,0.015,
P33_0702,9654d0e67401cf06,off_hours_skip,1.2,1.0,0.15,ALL,False,ALL,0.015,
P33_0703,9f276c4331f6f296,funding_safe,1.4,1.0,0.15,ALL,False,ALL,0.015,NO_EXTREME
P33_0704,18ee99cf53f420cc,low_r_removal,1.6,1.0,0.15,ALL,True,ALL,0.015,NO_EXTREME
P33_0705,c224c5ffcff79c18,adx_trend,1.8,1.2,0.2,ALL,False,ALL,0.015,NO_EXTREME
P33_0706,011c133790b1e68e,atr_volatility_expansion,2.0,1.2,0.2,ALL,False,ALL,0.015,NO_EXTREME
P33_0707,32d98090692bf4d6,cost_to_atr,,1.2,0.2,NO_OFF_HOURS,False,ALL,0.015,NO_EXTREME
P33_0708,36290edce9a7e93c,monthly_governor,1.0,,0.2,NO_OFF_HOURS,False,ALL,0.015,NO_EXTREME
P33_0709,4720d399203f3386,time_stop,1.2,,0.2,NO_OFF_HOURS,False,ALL,0.015,NO_EXTREME
P33_0710,3d07acd2c34d5a9d,same_candle_safe,1.4,,0.3,NO_OFF_HOURS,False,ALL,0.015,NO_EXTREME
P33_0711,3e97ea89cc460905,low_correlation_complement,1.6,0.8,0.3,NO_OFF_HOURS,False,ALL,0.015,NO_EXTREME
P33_0712,fc4d4a64672a25ff,high_pf_low_frequency,1.8,0.8,0.3,NO_OFF_HOURS,False,ALL,0.015,NO_EXTREME
P33_0713,ad835c5c673eb839,stress_hardened,2.0,0.8,0.3,NO_OFF_HOURS,False,ALL,0.015,NO_EXTREME
P33_0714,da460b5a5265c33d,bollinger_expansion_breakout,,1.0,0.3,LONDON_NY,False,ALL,0.02,NO_EXTREME
P33_0715,d073977a86631eba,mean_reversion,1.0,1.0,0.4,LONDON_NY,True,bb_expansion,0.02,NO_EXTREME
P33_0716,9ba695e5fac99ce1,vwap_reclaim,1.2,1.0,0.4,LONDON_NY,False,bb_expansion,0.02,NO_EXTREME
P33_0717,3edf8eb997e2e805,london_breakout,1.4,1.2,0.4,LONDON_NY,False,bb_expansion,0.02,NO_EXTREME
P33_0718,2c082c723b5b63e5,ny_breakout,1.6,1.2,0.4,LONDON_NY,False,bb_expansion,0.02,NO_EXTREME
P33_0719,469281410bdc7c84,off_hours_skip,1.8,1.2,0.4,LONDON_NY,False,bb_expansion,0.02,NO_EXTREME
P33_0720,4af7f3c72f6c769d,funding_safe,2.0,,,LONDON_NY,False,bb_expansion,0.02,NO_EXTREME
P33_0721,ea0f89bf82734a81,low_r_removal,,,,LONDON_ONLY,False,bb_expansion,0.02,NO_EXTREME
P33_0722,b082d6840cee807b,adx_trend,1.0,,,LONDON_ONLY,False,bb_expansion,0.02,
P33_0723,ef1da90232f44d0a,atr_volatility_expansion,1.2,0.8,,LONDON_ONLY,False,bb_expansion,0.02,
P33_0724,7f04bbf85a411554,cost_to_atr,1.4,0.8,,LONDON_ONLY,False,bb_expansion,0.02,
P33_0725,508acc3e9795732d,monthly_governor,1.6,0.8,0.1,LONDON_ONLY,False,bb_expansion,0.02,
P33_0726,cc4ab93581ed5c5b,time_stop,1.8,1.0,0.1,LONDON_ONLY,True,bb_expansion,0.02,
P33_0727,28515d1bc6c1938c,same_candle_safe,2.0,1.0,0.1,LONDON_ONLY,False,bb_expansion,0.02,
P33_0728,beb9898bf04a6502,low_correlation_complement,,1.0,0.1,NY_ONLY,False,floor_low_activity,0.02,
P33_0729,9821daaaaa6b3964,high_pf_low_frequency,1.0,1.2,0.1,NY_ONLY,False,floor_low_activity,0.02,
P33_0730,853e66e115c65f60,stress_hardened,1.2,1.2,0.15,NY_ONLY,False,floor_low_activity,0.02,
P33_0731,f3bc9612be1a852a,bollinger_expansion_breakout,1.4,1.2,0.15,NY_ONLY,False,floor_low_activity,0.03,
P33_0732,1215c26c2d763d02,mean_reversion,1.6,,0.15,NY_ONLY,False,floor_low_activity,0.03,
P33_0733,4516e07978ca34a1,vwap_reclaim,1.8,,0.15,NY_ONLY,False,floor_low_activity,0.03,
P33_0734,38f58eba1ebe5f23,london_breakout,2.0,,0.15,NY_ONLY,False,floor_low_activity,0.03,
P33_0735,7d7a3b829e199a4a,ny_breakout,,0.8,0.2,ALL,False,floor_low_activity,0.03,
P33_0736,06f50c5ec85a5e49,off_hours_skip,1.0,0.8,0.2,ALL,False,floor_low_activity,0.03,
P33_0737,f4c18ce79af0ae5d,funding_safe,1.2,0.8,0.2,ALL,True,floor_low_activity,0.03,
P33_0738,3dccdc1fe194ddb5,low_r_removal,1.4,1.0,0.2,ALL,False,floor_low_activity,0.03,
P33_0739,316401351ba77b0d,adx_trend,1.6,1.0,0.2,ALL,False,floor_low_activity,0.03,
P33_0740,84db1dca0b5b068d,atr_volatility_expansion,1.8,1.0,0.3,ALL,False,floor_low_activity,0.03,
P33_0741,ffd7f8b48b48c530,cost_to_atr,2.0,1.2,0.3,ALL,False,ALL,0.03,NO_EXTREME
P33_0742,6b39bcbeef7ddc51,monthly_governor,,1.2,0.3,NO_OFF_HOURS,False,ALL,0.03,NO_EXTREME
P33_0743,4cb95db9ef0dee3b,time_stop,1.0,1.2,0.3,NO_OFF_HOURS,False,ALL,0.03,NO_EXTREME
P33_0744,c82e37631ed3e386,same_candle_safe,1.2,,0.3,NO_OFF_HOURS,False,ALL,0.03,NO_EXTREME
P33_0745,1c9e866939f09cef,low_correlation_complement,1.4,,0.4,NO_OFF_HOURS,False,ALL,0.03,NO_EXTREME
P33_0746,b1daee77ea18d790,high_pf_low_frequency,1.6,,0.4,NO_OFF_HOURS,False,ALL,0.03,NO_EXTREME
P33_0747,8764940f6feda9a3,stress_hardened,1.8,0.8,0.4,NO_OFF_HOURS,False,ALL,0.03,NO_EXTREME
P33_0748,65513465a5c75700,bollinger_expansion_breakout,2.0,0.8,0.4,NO_OFF_HOURS,True,ALL,0.05,NO_EXTREME
P33_0749,8e7ee1a921ebad86,mean_reversion,,0.8,0.4,LONDON_NY,False,ALL,0.05,NO_EXTREME
P33_0750,a0816e0f27fdd795,vwap_reclaim,1.0,1.0,,LONDON_NY,False,ALL,0.05,NO_EXTREME
P33_0751,ad2640debe88e743,london_breakout,1.2,1.0,,LONDON_NY,False,ALL,0.05,NO_EXTREME
P33_0752,ce61919ffb22f42b,ny_breakout,1.4,1.0,,LONDON_NY,False,ALL,0.05,NO_EXTREME
P33_0753,3dcad87f41241a09,off_hours_skip,1.6,1.2,,LONDON_NY,False,ALL,0.05,NO_EXTREME
P33_0754,128104d586d6ac0d,funding_safe,1.8,1.2,,LONDON_NY,False,bb_expansion,0.05,NO_EXTREME
P33_0755,8a1bf2beed51c44a,low_r_removal,2.0,1.2,0.1,LONDON_NY,False,bb_expansion,0.05,NO_EXTREME
P33_0756,7f627fcb833f0d68,adx_trend,,,0.1,LONDON_ONLY,False,bb_expansion,0.05,NO_EXTREME
P33_0757,7e924e58ba85fd1a,atr_volatility_expansion,1.0,,0.1,LONDON_ONLY,False,bb_expansion,0.05,NO_EXTREME
P33_0758,c045054cd8d8d030,cost_to_atr,1.2,,0.1,LONDON_ONLY,False,bb_expansion,0.05,NO_EXTREME
P33_0759,0dc9f6b46d7f279d,monthly_governor,1.4,0.8,0.1,LONDON_ONLY,True,bb_expansion,0.05,NO_EXTREME
P33_0760,f7eca7d6b3395d94,time_stop,1.6,0.8,0.15,LONDON_ONLY,False,bb_expansion,0.05,
P33_0761,3e31b2e91430c067,same_candle_safe,1.8,0.8,0.15,LONDON_ONLY,False,bb_expansion,0.05,
P33_0762,c6788b4bd5e12a04,low_correlation_complement,2.0,1.0,0.15,LONDON_ONLY,False,bb_expansion,0.05,
P33_0763,dcc9a4043b00c65b,high_pf_low_frequency,,1.0,0.15,NY_ONLY,False,bb_expansion,0.05,
P33_0764,5fdaff37fc43c6be,stress_hardened,1.0,1.0,0.15,NY_ONLY,False,bb_expansion,0.05,
P33_0765,0adce6c4865f5413,bollinger_expansion_breakout,1.2,1.2,0.2,NY_ONLY,False,bb_expansion,,
P33_0766,5c7f3324f6f6735f,mean_reversion,1.4,1.2,0.2,NY_ONLY,False,bb_expansion,,
P33_0767,f91c2ef11c415b3f,vwap_reclaim,1.6,1.2,0.2,NY_ONLY,False,floor_low_activity,,
P33_0768,79781e3484e69047,london_breakout,1.8,,0.2,NY_ONLY,False,floor_low_activity,,
P33_0769,ed82ced6b8f9c1e2,ny_breakout,2.0,,0.2,NY_ONLY,False,floor_low_activity,,
P33_0770,31f7e9b13b08b470,off_hours_skip,,,0.3,ALL,True,floor_low_activity,,
P33_0771,bfba512c2c04e0d2,funding_safe,1.0,0.8,0.3,ALL,False,floor_low_activity,,
P33_0772,fc4cf61a83cae9c9,low_r_removal,1.2,0.8,0.3,ALL,False,floor_low_activity,,
P33_0773,bf0020b79b737759,adx_trend,1.4,0.8,0.3,ALL,False,floor_low_activity,,
P33_0774,25c36f46e72d6be9,atr_volatility_expansion,1.6,1.0,0.3,ALL,False,floor_low_activity,,
P33_0775,fa076ce287abb96e,cost_to_atr,1.8,1.0,0.4,ALL,False,floor_low_activity,,
P33_0776,e6d5bba7ea217e6c,monthly_governor,2.0,1.0,0.4,ALL,False,floor_low_activity,,
P33_0777,a54e12f69f63f17d,time_stop,,1.2,0.4,NO_OFF_HOURS,False,floor_low_activity,,
P33_0778,6c17771d0c1f2df7,same_candle_safe,1.0,1.2,0.4,NO_OFF_HOURS,False,floor_low_activity,,
P33_0779,c226ae42927a1697,low_correlation_complement,1.2,1.2,0.4,NO_OFF_HOURS,False,floor_low_activity,,NO_EXTREME
P33_0780,119e234b3a6bbde3,high_pf_low_frequency,1.4,,,NO_OFF_HOURS,False,ALL,,NO_EXTREME
P33_0781,38af745ebd99ce8f,stress_hardened,1.6,,,NO_OFF_HOURS,True,ALL,,NO_EXTREME
P33_0782,24e2c135b7bb328e,bollinger_expansion_breakout,1.8,,,NO_OFF_HOURS,False,ALL,0.015,NO_EXTREME
P33_0783,30ae595dcdc622f2,mean_reversion,2.0,0.8,,NO_OFF_HOURS,False,ALL,0.015,NO_EXTREME
P33_0784,8136e0f27d38207f,vwap_reclaim,,0.8,,LONDON_NY,False,ALL,0.015,NO_EXTREME
P33_0785,dc45ff0a02d1a631,london_breakout,1.0,0.8,0.1,LONDON_NY,False,ALL,0.015,NO_EXTREME
P33_0786,1737a187c27a56c5,ny_breakout,1.2,1.0,0.1,LONDON_NY,False,ALL,0.015,NO_EXTREME
P33_0787,97eb4f1444bc4974,off_hours_skip,1.4,1.0,0.1,LONDON_NY,False,ALL,0.015,NO_EXTREME
P33_0788,2e75fa4f1fb91687,funding_safe,1.6,1.0,0.1,LONDON_NY,False,ALL,0.015,NO_EXTREME
